;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
678563;G;G;E;D;4;K;A;D;D;C;A;B;B;B;A;B;A;A;E;A;B;E;A;C;B;;SE;0;M;1;;3.0;;;;;2;;1.0;;3
989227;D;G;B;E;6;E;A;D;E;B;A;C;B;B;A;B;A;A;E;A;B;E;B;D;B;;MG;0;F;1;;1.0;;;;1.0;1;;1.0;;3
491402;E;E;;;3;B;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;B;A;A;A;;MA;0;M;0;2.0;3.0;;;;1.0;4;;1.0;;1
1438975;D;F;C;;2;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;B;B;;GO;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
2611030;D;D;B;;4;D;A;D;C;B;A;B;B;C;C;C;A;B;C;B;B;E;A;B;B;;SP;0;F;0;3.0;1.0;;;;;6;;1.0;;1
889509;D;D;D;B;5;B;A;A;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B;;CE;0;F;1;;;;;;;1;;1.0;;3
1451872;F;E;B;D;4;B;A;B;B;B;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B;;PE;0;M;1;;3.0;;;;1.0;1;;1.0;;3
1793266;G;F;E;;5;H;A;E;E;E;A;B;B;B;A;B;A;B;E;A;A;E;A;D;B;;CE;0;F;0;;1.0;;;;1.0;1;;1.0;;4
1569597;E;F;B;D;4;E;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;E;A;C;B;;RO;1;F;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
2245171;B;C;B;C;4;F;A;B;C;A;A;B;B;A;A;A;A;A;C;A;A;C;A;B;B;;MA;0;M;0;14.0;3.0;;;;;12;;1.0;;1
